sci_fi,verb.body,verb.change,verb.cognition,verb.communication,verb.competition,verb.consumption,verb.contact,verb.creation,verb.emotion,verb.motion,verb.perception,verb.possession,verb.social,verb.stative,verb.weather
1,-0.56766632,-0.0966039815,0.7181343372,1.742594396,-0.1339122427,0.2204401217,-0.3568307824,0.2774569295,-0.7501862178,-0.6549679539,0.5351401504,3.343541958,1.41203156,4.345255385,-0.03442733861
0,-1.01771537,-0.4417537055,0.6825950466,-1.187182579,0.1035988636,-0.2674450867,-3.193810411,0.1761897655,0.03983488699,-2.010167364,-1.70849724,-1.236833278,0.3373282452,0.7290661713,-0.005207945352
